Cell Identity(CI),User Agent,Downlink traffic,Location Area Code(LAC),Duration,Start Time,Radio Access Type(RAT),End Time,Uplink traffic,Destination IP,URL,Source IP,Offloading Decision,Latency,Throughput
7902,,13688,42268,33,2015-08-02 22:26:52.644817,1,2015-08-02 22:27:25.733440,2310,17.134.62.234,,172.25.142.30,Edge Cloud,38.088623,420.02043497345653
29512,,468,42263,0,2015-08-02 22:27:25.735476,1,2015-08-02 22:27:26.588746,138,210.21.196.6,b378.photo.store.qq.com,172.27.145.203,Edge Cloud,5.85327,103.53187192799922
50252,,0,20844,5,2015-08-02 22:27:19.934778,2,2015-08-02 22:27:25.874872,630,140.206.160.244,,172.30.139.82,Mobile Device,5.0,126.0
15553,,5289,42266,0,2015-08-02 22:27:24.998976,1,2015-08-02 22:27:25.888758,2075,123.124.191.175,,172.28.72.171,Edge Cloud,5.889782,1250.300944924617
27817,,0,42257,2,2015-08-02 22:27:26.221912,1,2015-08-02 22:27:29.176632,256,17.143.163.223,,172.29.34.155,Mobile Device,2.0,128.0
15553,,1244,42266,0,2015-08-02 22:27:26.519019,1,2015-08-02 22:28:27.938166,514,210.21.196.6,ticket1.push.ireader.com,172.28.72.171,Edge Cloud,66.41914700000001,26.46827126521212
15553,,0,42266,7,2015-08-02 22:27:26.528939,1,2015-08-02 22:27:33.569476,240,58.251.148.246,,172.28.72.171,Mobile Device,7.0,34.285714285714285
58312,MicroMessenger Client,1815,42265,0,2015-08-02 22:27:26.378432,1,2015-08-02 22:27:26.602926,865,58.251.61.175,http://szextshort.weixin.qq.com/cgi-bin/micromsg-bin/mmsnssync,172.31.17.176,Edge Cloud,5.224494,512.9683372207911
15553,,352,42266,1,2015-08-02 22:27:25.818754,1,2015-08-02 22:27:26.828997,428,8.8.8.8,,172.28.72.171,Mobile Device,1.0,780.0
29512,QQ 5.4 rv:5.4.0.454 (iPhone; iPhone OS 7.1.1; zh_CN),1516,42263,0,2015-08-02 22:27:26.565554,1,2015-08-02 22:27:26.895647,571,163.177.153.82,http://qzonestyle.gtimg.cn/qzone/em/e258665.gif,172.27.145.203,Edge Cloud,5.330093,391.55039133463526
18654,,0,42264,14,2015-08-02 22:27:12.749650,1,2015-08-02 22:27:26.965843,156,140.206.160.199,,172.25.31.221,Mobile Device,14.0,11.142857142857142
18532,,0,42276,0,2015-08-02 22:27:27.175068,1,2015-08-02 22:27:27.175068,241,17.172.239.124,,172.28.23.100,Mobile Device,0.0,inf
23958,,320,42246,10512,2015-08-02 19:32:34.452312,1,2015-08-02 22:27:47.395165,580,140.205.203.75,,172.30.53.191,Mobile Device,10512.0,0.08561643835616438
23142,,0,42266,0,2015-08-02 22:27:27.854742,1,2015-08-02 22:27:27.854742,326,172.29.137.255,,172.29.137.233,Mobile Device,0.0,inf
43783,,2062,42254,1022,2015-08-02 22:10:45.256548,1,2015-08-02 22:27:47.888898,2954,115.239.211.80,,172.25.58.212,Mobile Device,1022.0,4.908023483365949
23142,,0,42266,0,2015-08-02 22:27:27.894838,1,2015-08-02 22:27:27.894838,335,172.29.137.255,,172.29.137.233,Mobile Device,0.0,inf
23958,,60,42246,0,2015-08-02 22:27:28.043644,1,2015-08-02 22:27:28.377166,112,202.91.239.179,,172.30.53.191,Mobile Device,0.0,inf
