Cell Identity(CI),User Agent,Downlink traffic,Location Area Code(LAC),Duration,Start Time,Radio Access Type(RAT),End Time,Uplink traffic,Destination IP,URL,Source IP,Offloading Decision,Latency,Throughput
24411,,0,5199,613,2015-08-10 22:39:48.081956,2,2015-08-10 22:40:39.983744,8350,221.5.88.88,long.weixin.qq.com,10.164.216.87,Mobile Device,613.0,13.621533442088092
39931,Android_CellLocation_2.0_HdHgApGjGdMeOcHiMkPnKiJlJiChAfPoOhOgLfPlMgCoHiGfAaAhJoGkPoKpCbHi@w�_41_VER_2015.05.26_10:15:51_VER_2015.05.26_10:15:52;866288028373292;89860115831004589710;Coolpad;Coolpad 8297-T01;19,537,5194,1,2015-08-10 22:39:47.025875,2,2015-08-10 22:39:48.388469,998,10.0.0.172,http://wireless.mapbar.com/position/?gb=02&tp=13&ch=utf-8&ict=2&key=%5BAndroid%5D%5Bp%2BALYukyrS7fedqOnrEaQw%3D%3D%5DeJwz0DFAQGsTMwMDQx0dE0MLUx0zU2NjHV3DGmsAdp0G9w%3D%3D&idx=7634,10.151.8.2,Mobile Device,1.0,1535.0
11941,,478,43049,5,2015-08-10 22:39:49.394651,1,2015-08-10 22:39:55.219283,336,17.143.164.94,,10.160.137.114,Edge Cloud,10.824632000000001,75.19886126382863
47772,,40,43041,0,2015-08-10 22:39:50.503907,1,2015-08-10 22:39:50.558520,40,211.151.12.194,,10.162.251.103,Mobile Device,0.0,inf
39931,Android_CellLocation_2.0_HdHgApGjGdMeOcHiMkPnKiJlJiChAfPoOhOgLfPlMgCoHiGfAaAhJoGkPoKpCbHi@w�_41_VER_2015.05.26_10:15:51_VER_2015.05.26_10:15:52;866288028373292;89860115831004589710;Coolpad;Coolpad 8297-T01;19,537,5194,1,2015-08-10 22:39:49.166269,2,2015-08-10 22:39:50.749189,998,10.0.0.172,http://wireless.mapbar.com/position/?gb=02&tp=13&ch=utf-8&ict=2&key=%5BAndroid%5D%5Bp%2BALYukyrS7fedqOnrEaQw%3D%3D%5DeJwz0DFAQGsTMwMDQx0dE0MLUx0zU2NjHV3DGmsAdp0G9w%3D%3D&idx=7635,10.151.8.2,Mobile Device,1.0,1535.0
24411,MicroMessenger Client,52,5199,28,2015-08-10 22:39:22.566061,2,2015-08-10 22:39:50.902424,2498,123.151.148.66,http://dns.weixin.qq.com/cgi-bin/micromsg-bin/newgetdns?uin=0&clientversion=637666355&scene=0&net=2&md5=ad82b912c982c2b1006bd41c0375fe5c&devicetype=android-18&lan=zh_CN&sigver=1,10.164.216.87,Mobile Device,28.0,91.07142857142857
11941,,106,43049,0,2015-08-10 22:39:51.667173,1,2015-08-10 22:39:51.668278,60,210.21.196.6,r.inews.qq.com,10.160.137.114,Edge Cloud,5.001105,33.192664421162924
10393,,13176,43061,31,2015-08-10 22:39:20.620036,1,2015-08-10 22:39:51.670887,3065,17.167.192.152,,10.160.30.41,Edge Cloud,36.050851,450.5025415350112
24411,,52,5199,0,2015-08-10 22:39:51.553621,2,2015-08-10 22:39:51.802654,52,122.13.129.12,,10.164.216.87,Mobile Device,0.0,inf
24411,,0,5199,0,2015-08-10 22:39:52.324114,2,2015-08-10 22:39:52.324114,68,140.207.123.162,,10.164.216.87,Mobile Device,0.0,inf
11941,腾讯新闻 4.7.3 qqnews (iPhone; iPhone OS 8.3; zh_CN; 4.7.3.66831),216,43049,0,2015-08-10 22:39:52.047237,1,2015-08-10 22:39:52.530284,1569,220.249.243.160,http://r.inews.qq.com/checkForUpdate?appver=8.3_qqnews_4.7.3&__qnr=1b78ef36cd4e&screen_width=320&screen_scale=2&idfa=745FC618-686C-4278-A1B3-A5FE577AF360&screen_height=568&__bg=1&devid=952FE30C-8DC6-4524-8AC2-AED669B3A727&device_model=iPhone&store=1,10.160.137.114,Mobile Device,0.0,inf
24411,,0,5199,0,2015-08-10 22:39:52.643793,2,2015-08-10 22:39:52.643793,68,140.206.160.212,,10.164.216.87,Mobile Device,0.0,inf
39931,Android_CellLocation_2.0_HdHgApGjGdMeOcHiMkPnKiJlJiChAfPoOhOgLfPlMgCoHiGfAaAhJoGkPoKpCbHi@w�_41_VER_2015.05.26_10:15:51_VER_2015.05.26_10:15:52;866288028373292;89860115831004589710;Coolpad;Coolpad 8297-T01;19,537,5194,1,2015-08-10 22:39:51.445728,2,2015-08-10 22:39:53.024610,998,10.0.0.172,http://wireless.mapbar.com/position/?gb=02&tp=13&ch=utf-8&ict=2&key=%5BAndroid%5D%5Bp%2BALYukyrS7fedqOnrEaQw%3D%3D%5DeJwz0DFAQGsTMwMDQx0dE0MLUx0zU2NjHV3DGmsAdp0G9w%3D%3D&idx=7636,10.151.8.2,Mobile Device,1.0,1535.0
